SR (A/fs)	5e-06	Plateau PMF	50217.332	Plate-plate vol (m^3)	5.25e-25
TimeStep	Time (fs)	Total strain (A)	PMF (kCal/mol)	PMF norm (vol)	PMF norm (peak)
2235600	723600	3.618	31760.6	6.049638095238095e+28	0.632
2237400	725400	3.627	31867.2	6.069942857142858e+28	0.635
2239200	727200	3.636	31975.2	6.090514285714286e+28	0.637
2241000	729000	3.645	32082.2	6.110895238095238e+28	0.639
2242800	730800	3.654	32189.6	6.131352380952381e+28	0.641
2244600	732600	3.663	32297.2	6.15184761904762e+28	0.643
2246400	734400	3.672	32406.1	6.172590476190476e+28	0.645
2248200	736200	3.681	32515.0	6.193333333333334e+28	0.647
2250000	738000	3.69	32625.8	6.214438095238096e+28	0.65
2251800	739800	3.699	32733.3	6.2349142857142855e+28	0.652
2253600	741600	3.708	32845.9	6.256361904761905e+28	0.654
2255400	743400	3.717	32958.1	6.277733333333333e+28	0.656
2257200	745200	3.726	33068.4	6.298742857142858e+28	0.659
2259000	747000	3.735	33180.3	6.320057142857143e+28	0.661
2260800	748800	3.744	33288.7	6.340704761904761e+28	0.663
2262600	750600	3.753	33402.2	6.362323809523809e+28	0.665
2264400	752400	3.762	33512.3	6.383295238095239e+28	0.667
2266200	754200	3.771	33627.5	6.405238095238095e+28	0.67
2268000	756000	3.78	33740.1	6.426685714285714e+28	0.672
2269800	757800	3.789	33854.1	6.4484e+28	0.674
2271600	759600	3.798	33967.3	6.4699619047619055e+28	0.676
2273400	761400	3.807	34077.0	6.490857142857143e+28	0.679
2275200	763200	3.816	34188.9	6.512171428571429e+28	0.681
2277000	765000	3.825	34294.5	6.532285714285715e+28	0.683
2278800	766800	3.834	34406.4	6.553600000000001e+28	0.685
2280600	768600	3.843	34512.6	6.573828571428571e+28	0.687
